num,name,email,state,cur,phone,annual_salary
2001,Moshe Levy,Moshe@gmail.com,Israel,Shekel,972-528575912,50000
2002,Johnny Walker,Johnny441@yahoo.com,USA,Dollar,1-997912312,150000
2003,Alison Burgers,Aburgerrrr@Walla.com,France,Euro,33-8764019,110000
2004,Ladis Washroam,Ladis4120@gmail.com,Germany,Euro,49-2761239,80000
2005,Emplois Muswashands,Muswash@gmail.com,USA,Dollar,1-921842123,90000
2006,Max Imumcupacity120,Max120t@gmail.com,USA,Dollar,1-921801225,150000
2007,Itay Mor,Itay90@gmail.com,Israel,Shekel,972-572919876,60000
2008,Shira Dahan,DahanS@gmail.com,Israel,Shekel,972-548134918,200000
2009,Ortal Nuna,Ort_n@gmail.com,Israel,Shekel,972-512909787,100000
2010,Michelee Martin,Micheeeellllee@gmail.com,England,Euro,44-911662,110000
2011,Ronnie Mercier,RonnieMercieeerr@gmail.com,USA,Dollar,1-921899875,80000
2012,Spanic Roux,RouxInc@gmail.com,Spain,Euro,34-1820192,80000
2013,Andree Lambert,AALLamnnnt@gmail.com,Greece,Euro,30-12312082,200000
2014,Rephaele Petit,REPHaPetia4@gmail.com,USA,Dollar,1-941801525,60000
